c,idade,sexo,tempo_como_cliente,frequencia_uso,ligacoes_callcenter,dias_atraso,assinatura,duracao_contrato,total_gasto,meses_ultima_interacao,cancelou
3499360,230,Male,130.0,220,20,10,Standard,Annual,90958,230,0
1006340,490,Male,550.0,160,30,60,Premium,Monthly,2070,290,0
3012630,300,Male,70.0,10,0,80,Basic,Annual,76878,70,0
1193580,260,Male,400.0,50,30,80,Premium,Annual,3980,120,0
1309550,270,Female,170.0,300,50,60,Basic,Annual,5070,150,0
3451900,490,Male,60.0,70,0,0,Standard,Annual,7510,110,0
4057470,330,Male,150.0,180,10,200,Standard,Annual,83971,250,0
2987080,190,Female,590.0,190,10,40,Basic,Quarterly,54393,70,0
2695440,270,Female,10.0,130,0,110,Premium,Annual,62167,60,0
387240,470,Male,240.0,60,0,50,Premium,Monthly,7520,280,0
1318740,430,Male,460.0,200,60,70,Standard,Annual,5490,190,0
3772010,230,Male,300.0,220,10,160,Premium,Annual,86604,110,0
1860080,540,Female,280.0,190,70,50,Premium,Annual,3370,260,0
1045340,590,Female,70.0,70,100,0,Premium,Quarterly,4280,120,0
867680,500,Female,190.0,10,60,280,Premium,Quarterly,2990,150,0
1537780,330,Female,510.0,70,60,70,Basic,Annual,5620,100,0
3760020,390,Male,150.0,280,20,130,Standard,Annual,88605,60,0
3680160,310,Male,290.0,290,0,150,Basic,Quarterly,64254,80,0
3436300,430,Male,510.0,280,20,200,Standard,Quarterly,95018,240,0
540700,340,Female,210.0,230,50,160,Premium,Annual,2100,270,0
4069310,340,Male,60.0,150,0,20,Basic,Quarterly,52472,10,0
3559800,480,Male,590.0,250,0,180,Basic,Quarterly,99253,110,0
4327990,390,Male,40.0,290,20,30,Premium,Quarterly,62288,20,0
1390980,330,Female,210.0,210,100,100,Standard,Quarterly,8500,10,0
1887000,380,Female,390.0,290,60,50,Standard,Quarterly,2130,270,0
2529190,640,Male,130.0,280,60,180,Basic,Quarterly,5479,140,0
1455110,560,Male,40.0,240,80,150,Standard,Monthly,6130,260,0
1410760,640,Female,590.0,90,20,30,Standard,Monthly,1450,130,0
2523750,550,Female,180.0,190,10,230,Standard,Annual,14533,80,0
1925710,290,Female,140.0,200,40,190,Premium,Quarterly,1920,120,0
2489240,540,Male,100.0,220,0,70,Basic,Annual,16583,250,0
818740,600,Female,410.0,30,50,10,Standard,Quarterly,5500,220,0
3697140,500,Male,490.0,180,20,40,Standard,Annual,5711,60,0
2185730,550,Female,230.0,210,30,80,Basic,Monthly,26176,240,0
1929930,570,Female,160.0,50,80,230,Basic,Quarterly,1670,300,0
3690160,310,Male,60.0,300,10,70,Standard,Annual,87494,30,0
942690,540,Male,320.0,160,50,220,Premium,Annual,6400,110,0
2498320,350,Female,10.0,40,20,0,Basic,Annual,18828,60,0
62440,440,Male,560.0,30,10,100,Basic,Monthly,5580,150,0
1598080,320,Male,120.0,60,20,260,Standard,Quarterly,3350,170,0
1640760,340,Male,450.0,40,20,210,Basic,Annual,8850,40,0
4076580,220,Female,390.0,70,0,40,Basic,Annual,75163,40,0
3712470,290,Male,50.0,300,10,180,Standard,Annual,83127,170,0
374100,350,Male,280.0,80,100,240,Premium,Monthly,6660,80,0
4052740,340,Female,130.0,160,10,200,Basic,Quarterly,77131,80,0
